DEWP,TEMP,PRES,Iws,Is,Ir,pm2.5
-14.0,15.0,1026.0,9.83,0.0,0.0,15.0
8.0,15.0,1020.0,14.31,0.0,0.0,12.0
-14.0,-10.0,1029.0,1.79,0.0,0.0,154.0
-2.0,15.0,1032.0,20.12,0.0,0.0,4.0
23.0,23.0,1007.0,1.78,0.0,0.0,72.0
-11.0,15.0,1018.0,22.8,0.0,0.0,3.0
-2.0,-2.0,1017.0,1.79,10.0,0.0,223.0
22.0,24.0,1007.0,35.32,0.0,0.0,28.0
21.0,27.0,1006.0,26.38,0.0,0.0,160.0
-2.0,-1.0,1026.0,3.13,0.0,0.0,143.0
19.0,21.0,1011.0,4.92,0.0,14.0,12.0
16.0,22.0,1009.0,3.13,0.0,0.0,70.0
-14.0,7.0,1022.0,12.07,0.0,0.0,54.0
0.0,21.0,1018.0,4.92,0.0,0.0,58.0
-15.0,7.0,1018.0,177.93,0.0,0.0,42.0
6.0,22.0,1006.0,1.79,0.0,0.0,142.0
-12.0,12.0,1024.0,0.89,0.0,0.0,43.0
8.0,9.0,1023.0,1.34,0.0,0.0,154.0
-24.0,4.0,1031.0,142.59,0.0,0.0,23.0
-6.0,-1.0,1031.0,1.79,0.0,0.0,352.0
18.0,26.0,998.0,0.89,0.0,0.0,114.0
-1.0,20.0,1011.0,1.79,0.0,0.0,26.0
-12.0,9.0,1016.0,50.51,0.0,0.0,40.0
-18.0,-7.0,1041.0,10.28,0.0,0.0,14.0
-14.0,7.0,1019.0,27.72,0.0,0.0,20.0
-17.0,2.0,1026.0,17.88,0.0,0.0,12.0
3.0,13.0,1027.0,3.58,0.0,0.0,55.0
14.0,16.0,1018.0,0.45,0.0,0.0,72.0
19.0,29.0,994.0,25.03,0.0,0.0,21.0
8.0,20.0,1021.0,15.19,0.0,0.0,106.0
19.0,22.0,999.0,4.02,0.0,4.0,19.0
-16.0,-5.0,1012.0,1.78,0.0,0.0,98.0
-8.0,8.0,1019.0,3.58,0.0,0.0,75.0
-17.0,-8.0,1025.0,8.05,0.0,0.0,126.0
-13.0,-6.0,1026.0,0.89,0.0,0.0,125.0
2.0,8.0,1018.0,0.89,0.0,0.0,59.0
-7.0,-1.0,1034.0,10.28,0.0,0.0,59.0
-3.0,3.0,1031.0,8.94,0.0,0.0,327.0
