 timedelta, n_tokens_title, n_tokens_content, n_unique_tokens, n_non_stop_words, n_non_stop_unique_tokens, num_hrefs, num_self_hrefs, num_imgs, num_videos, average_token_length, num_keywords, kw_min_min, kw_max_min, kw_avg_min, kw_min_max, kw_max_max, kw_avg_max, kw_min_avg, kw_max_avg, kw_avg_avg, self_reference_min_shares, self_reference_max_shares, self_reference_avg_sharess, LDA_00, LDA_01, LDA_02, LDA_03, LDA_04, global_subjectivity, global_sentiment_polarity, global_rate_positive_words, global_rate_negative_words, rate_positive_words, rate_negative_words, avg_positive_polarity, min_positive_polarity, max_positive_polarity, avg_negative_polarity, min_negative_polarity, max_negative_polarity, title_subjectivity, title_sentiment_polarity, abs_title_subjectivity, abs_title_sentiment_polarity, shares,data_channel,weekday
423.0,7.0,259.0,0.6762295,1.0,0.7633136,9.0,2.0,4.0,0.0,4.6911197,7.0,4.0,440.0,101.71429,3900.0,843300.0,288557.16,1589.3334,8587.928,4238.645,707.0,707.0,707.0,0.028757764,0.028581463,0.18731837,0.72666323,0.028679159,0.6507379,0.1415397,0.06177606,0.019305019,0.7619048,0.23809524,0.4956913,0.13636364,1.0,-0.46119046,-1.0,-0.05,0.0,0.0,0.5,0.0,608,0,0
147.0,10.0,577.0,0.5044092,1.0,0.6541787,12.0,0.0,1.0,0.0,4.970537,8.0,-1.0,1100.0,311.57144,0.0,843300.0,223662.5,0.0,3493.8982,2381.721,0.0,0.0,0.0,0.16929676,0.28224495,0.37575707,0.1476972,0.025004037,0.34313935,0.11712828,0.03986135,0.013864818,0.7419355,0.2580645,0.34241953,0.1,0.5,-0.2734375,-0.5,-0.1,0.0,0.0,0.5,0.0,1300,5,3
665.0,8.0,252.0,0.6468254,1.0,0.8,3.0,2.0,0.0,1.0,4.4880953,8.0,217.0,455.0,330.85715,0.0,617900.0,119987.5,0.0,9503.134,3616.212,0.0,0.0,0.0,0.025064485,0.89949936,0.02504982,0.02538194,0.025004413,0.6333333,0.23172222,0.03968254,0.01984127,0.6666667,0.33333334,0.46833333,0.2,1.0,-0.17083333,-0.2,-0.15,0.0,0.0,0.5,0.0,17100,1,3
593.0,10.0,167.0,0.7468354,1.0,0.95454544,5.0,1.0,0.0,0.0,4.7245507,9.0,4.0,1200.0,414.375,0.0,690400.0,169733.33,0.0,9585.556,3640.8906,2800.0,2800.0,2800.0,0.23106442,0.022500122,0.47185776,0.13321881,0.14135888,0.46833333,0.16666667,0.04191617,0.017964073,0.7,0.3,0.45714286,0.3,0.5,-0.23333333,-0.3,-0.2,0.0,0.0,0.5,0.0,4200,4,5
492.0,11.0,875.0,0.5165877,1.0,0.6618705,25.0,10.0,15.0,1.0,4.509714,8.0,4.0,809.0,240.33333,0.0,843300.0,433687.5,0.0,9958.429,4108.757,636.0,2900.0,1681.7778,0.025011715,0.0250198,0.026068743,0.8988944,0.025005324,0.51079226,0.20987193,0.049142856,0.014857143,0.76785713,0.23214285,0.48218817,0.05,1.0,-0.25523505,-0.7,-0.05,0.42962962,0.048148148,0.07037037,0.048148148,1200,0,1
41.0,13.0,239.0,0.59030837,1.0,0.71532845,3.0,2.0,1.0,0.0,4.121339,7.0,-1.0,911.0,283.14285,1300.0,843300.0,331200.0,1067.25,3568.3708,2797.3245,1100.0,2700.0,1900.0,0.16664663,0.028573865,0.028618217,0.028704382,0.7474569,0.5620581,0.18928872,0.054393306,0.020920502,0.7222222,0.2777778,0.34638694,0.1,0.7,-0.175,-0.29166666,-0.125,0.43333334,-0.16666667,0.06666667,0.16666667,1700,4,4
577.0,10.0,168.0,0.6092715,1.0,0.75,4.0,3.0,1.0,0.0,4.1904764,7.0,4.0,2400.0,515.3333,0.0,690400.0,249142.86,0.0,3309.414,2457.3538,1100.0,2500.0,1800.0,0.45563015,0.028578311,0.028575204,0.028575096,0.45864123,0.44362745,0.15343137,0.05357143,0.029761905,0.64285713,0.35714287,0.4722222,0.1,0.7,-0.11833333,-0.16666667,-0.1,1.0,0.6,0.5,0.6,2400,2,0
195.0,11.0,966.0,0.45948827,1.0,0.61986303,6.0,0.0,1.0,0.0,4.7556934,8.0,-1.0,2300.0,481.0,0.0,843300.0,243525.0,0.0,4208.077,2848.0679,0.0,0.0,0.0,0.8999966,0.02500131,0.025000773,0.02500076,0.025000561,0.4368583,0.08296437,0.03416149,0.026915114,0.55932206,0.44067797,0.36406532,0.1,1.0,-0.22932692,-0.6,-0.05,0.4,-0.25,0.1,0.25,1100,2,4
140.0,10.0,383.0,0.54473686,1.0,0.68619245,8.0,3.0,4.0,0.0,5.1723237,10.0,-1.0,1100.0,165.8,1800.0,843300.0,239950.0,1425.0,4180.4023,2700.4727,551.0,1100.0,768.6667,0.021267189,0.020002438,0.9184404,0.020027563,0.020262387,0.25617284,0.05123457,0.023498695,0.03133159,0.42857143,0.5714286,0.41666666,0.1,0.6,-0.1587963,-0.4,-0.1,0.0,0.0,0.5,0.0,579,5,3
552.0,9.0,350.0,0.5415473,1.0,0.6682927,7.0,5.0,1.0,0.0,4.7114286,5.0,4.0,638.0,215.0,27300.0,843300.0,211840.0,2591.5671,4279.0,3206.944,929.0,27300.0,16776.334,0.040000226,0.8398943,0.040000413,0.040104825,0.040000245,0.484979,0.028536415,0.04,0.03142857,0.56,0.44,0.3797619,0.05,1.0,-0.3655844,-0.8,-0.071428575,0.0,0.0,0.5,0.0,734,1,4
499.0,9.0,1109.0,0.4456929,1.0,0.6354992,15.0,1.0,11.0,0.0,4.5293055,10.0,4.0,562.0,189.33333,0.0,843300.0,112739.5,0.0,4022.9497,2359.566,14200.0,14200.0,14200.0,0.17698278,0.65897185,0.12377207,0.020052696,0.020220615,0.50961334,0.17342536,0.07754734,0.03065825,0.71666664,0.28333333,0.3865914,0.1,1.0,-0.30087534,-0.7,-0.05,0.3,1.0,0.2,1.0,1100,1,1
647.0,8.0,226.0,0.65158373,1.0,0.8095238,4.0,3.0,0.0,1.0,4.438053,6.0,217.0,547.0,357.4,0.0,617900.0,313266.66,0.0,4734.2666,2709.7449,0.0,0.0,0.0,0.033333726,0.03335768,0.36788347,0.5320916,0.033333533,0.4802469,0.072608024,0.03539823,0.022123894,0.61538464,0.3846154,0.3375,0.1,0.6,-0.2186111,-0.6,-0.05,0.0,0.0,0.5,0.0,3100,0,0
578.0,11.0,467.0,0.5609756,1.0,0.72125435,20.0,4.0,0.0,0.0,4.423983,5.0,4.0,506.0,204.6,53100.0,690400.0,313420.0,3312.1074,12354.192,5710.168,3400.0,12400.0,7900.0,0.040000085,0.040017165,0.040059704,0.8399168,0.040006198,0.5770106,0.24709876,0.05353319,0.021413276,0.71428573,0.2857143,0.5653333,0.1,1.0,-0.2888889,-0.6,-0.05,1.0,-0.5,0.5,0.5,3900,0,6
719.0,9.0,497.0,0.53578734,1.0,0.69899666,10.0,4.0,8.0,0.0,4.5392356,10.0,217.0,742.0,442.55554,0.0,51900.0,15700.0,0.0,3604.4038,2131.2393,671.0,3100.0,2057.0,0.02003991,0.020009661,0.02000299,0.020066706,0.91988075,0.55917156,0.17933254,0.062374245,0.022132797,0.7380952,0.26190478,0.4035435,0.033333335,0.8,-0.2989899,-0.4,-0.05,0.0,0.0,0.5,0.0,3000,4,5
512.0,12.0,590.0,0.50342464,1.0,0.63307494,15.0,1.0,0.0,0.0,5.038983,6.0,4.0,1600.0,468.33334,2100.0,843300.0,282050.0,1075.2222,3327.692,2527.0488,0.0,0.0,0.0,0.866666,0.033333503,0.03333343,0.033333424,0.033333644,0.44798613,0.29056543,0.07966102,0.0016949152,0.9791667,0.020833334,0.36483467,0.033333335,1.0,-0.125,-0.125,-0.125,0.6015152,0.29545453,0.10151515,0.29545453,586,2,2
139.0,8.0,1002.0,0.46035016,1.0,0.592126,35.0,4.0,1.0,0.0,4.8602796,7.0,-1.0,817.0,177.5,0.0,843300.0,421342.84,0.0,4827.7,3053.5435,3400.0,5400.0,4250.0,0.45445335,0.028599923,0.19120708,0.028687311,0.29705232,0.46994025,0.04688655,0.03992016,0.027944112,0.5882353,0.4117647,0.31674242,0.033333335,0.7,-0.36517859,-0.8,-0.05,0.2,0.3,0.3,0.3,2300,3,4
528.0,11.0,288.0,0.614841,1.0,0.8154762,8.0,2.0,0.0,2.0,4.642361,10.0,4.0,882.0,163.375,0.0,843300.0,385990.0,0.0,7865.4844,3910.8184,2800.0,9200.0,6000.0,0.020030452,0.34809318,0.020546164,0.29245365,0.31887656,0.2634217,0.042108584,0.020833334,0.017361112,0.54545456,0.45454547,0.33712122,0.13636364,0.5,-0.2361111,-0.4,-0.125,0.0,0.0,0.5,0.0,642,1,0
627.0,7.0,357.0,0.58146065,1.0,0.7385321,5.0,3.0,1.0,0.0,4.7198877,6.0,4.0,1100.0,496.16666,3700.0,690400.0,147550.0,1871.4286,4576.9,3308.526,929.0,3700.0,1943.0,0.03333355,0.86659753,0.033333648,0.033401772,0.033333525,0.47161084,0.01937799,0.05602241,0.033613447,0.625,0.375,0.3476515,0.05,0.6,-0.42222223,-1.0,-0.16666667,0.0,0.0,0.5,0.0,1100,1,6
364.0,13.0,277.0,0.5687732,1.0,0.7176471,5.0,2.0,2.0,0.0,4.837545,8.0,-1.0,783.0,345.32376,1900.0,843300.0,262500.0,1200.0,4501.4287,2514.3306,2800.0,2800.0,2800.0,0.41764048,0.19197378,0.025155477,0.34022957,0.025000686,0.45506793,0.11534744,0.06498195,0.010830325,0.85714287,0.14285715,0.24287458,0.0625,0.5,-0.2888889,-0.5,-0.16666667,0.8,0.4,0.3,0.4,1000,2,3
118.0,9.0,135.0,0.7153846,1.0,0.88461536,4.0,2.0,1.0,0.0,4.9555554,5.0,-1.0,1100.0,248.2,6800.0,843300.0,213360.0,2187.439,3484.9197,2740.5237,1500.0,2900.0,2200.0,0.040002834,0.040002402,0.6261322,0.04000143,0.25386113,0.4,0.14285715,0.022222223,0.0074074073,0.75,0.25,0.36666667,0.1,0.5,-0.1,-0.1,-0.1,0.1,-0.1,0.4,0.1,2100,5,4
113.0,11.0,261.0,0.60728747,1.0,0.7315436,7.0,2.0,3.0,0.0,4.7318006,10.0,-1.0,939.0,357.3,10400.0,843300.0,193490.0,2002.5682,5426.3257,3811.3025,4700.0,8200.0,6450.0,0.020850046,0.39747143,0.12761189,0.020193791,0.43387285,0.45113635,-0.021590909,0.022988506,0.022988506,0.5,0.5,0.3,0.2,0.5,-0.30625,-0.5,-0.125,0.47,0.13,0.03,0.13,7600,0,2
658.0,8.0,1290.0,0.3307393,1.0,0.48607242,11.0,5.0,1.0,0.0,4.5868216,6.0,217.0,1500.0,542.5,1600.0,617900.0,131833.33,1566.6666,4040.4985,3111.9888,4100.0,5300.0,4700.0,0.4917363,0.03338858,0.40750736,0.0334986,0.033869162,0.45698774,0.27991378,0.05116279,0.007751938,0.8684211,0.13157895,0.4774367,0.1,1.0,-0.17527778,-0.3,-0.1,0.3,1.0,0.2,1.0,4700,3,3
716.0,10.0,743.0,0.56330013,1.0,0.64595103,53.0,3.0,13.0,0.0,5.17362,7.0,217.0,1100.0,561.8571,1600.0,51900.0,25742.857,1350.0,7150.0,3141.3481,1700.0,2600.0,2033.3334,0.029241243,0.028673599,0.028852705,0.8846595,0.028572913,0.48145124,-0.045915276,0.017496636,0.01345895,0.5652174,0.4347826,0.26969698,0.1,0.6,-0.43630952,-0.7,-0.071428575,0.0,0.0,0.5,0.0,1100,0,1
23.0,10.0,1474.0,0.41913283,1.0,0.58849555,22.0,1.0,1.0,1.0,4.9246945,10.0,-1.0,4300.0,616.6,1500.0,843300.0,265180.0,1400.0,5333.3335,3482.1624,981.0,981.0,981.0,0.02057784,0.14965287,0.020017087,0.020030335,0.78972185,0.43286723,0.15544994,0.05291723,0.0135685215,0.79591835,0.20408164,0.35724193,0.05,0.7,-0.18597223,-0.6,-0.0125,0.0,0.0,0.5,0.0,3600,4,1
490.0,12.0,541.0,0.43438077,1.0,0.5695793,4.0,3.0,8.0,0.0,4.3548985,7.0,4.0,493.0,199.14285,1800.0,843300.0,207742.86,1006.5455,3740.057,2745.561,1300.0,1300.0,1300.0,0.172453,0.028580904,0.028661538,0.028622119,0.74168247,0.40528828,0.13027966,0.038817007,0.018484289,0.67741936,0.32258064,0.36007008,0.1,0.7,-0.15,-0.3,-0.05,0.0,0.0,0.5,0.0,817,4,3
196.0,14.0,136.0,0.7132353,1.0,0.81707317,2.0,1.0,0.0,2.0,4.0661764,4.0,-1.0,1.59,-0.13666667,0.0,843300.0,556025.0,0.0,5435.9907,3062.2583,2300.0,2300.0,2300.0,0.79960597,0.050003663,0.050386798,0.05000215,0.05000141,0.41,0.18,0.014705882,0.0,1.0,0.0,0.45,0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,16900,2,3
21.0,10.0,463.0,0.57236844,1.0,0.7527675,4.0,1.0,1.0,1.0,4.764579,4.0,-1.0,129.0,31.5,45800.0,843300.0,412100.0,1744.2216,3395.063,2437.9702,394.0,394.0,394.0,0.05000016,0.05000004,0.79999524,0.050001066,0.050003473,0.44197932,0.17113397,0.03671706,0.015118791,0.7083333,0.29166666,0.40140057,0.1,1.0,-0.16805555,-0.25,-0.05,0.0,0.0,0.5,0.0,1800,5,3
359.0,9.0,143.0,0.75,1.0,0.742268,15.0,4.0,10.0,1.0,5.076923,7.0,-1.0,82.0,24.696667,0.0,843300.0,506085.72,0.0,8381.25,4774.2783,615.0,6200.0,2584.0,0.029350147,0.1741999,0.02891402,0.5987647,0.1687712,0.494,0.041,0.02097902,0.027972028,0.42857143,0.5714286,0.38666666,0.16,0.5,-0.1875,-0.5,-0.05,0.3,0.2,0.2,0.2,3700,0,1
426.0,9.0,2060.0,0.23975721,1.0,0.3246154,39.0,1.0,1.0,0.0,5.075728,10.0,4.0,1400.0,273.5,9900.0,843300.0,237090.0,2611.359,4160.4707,3367.2224,22800.0,22800.0,22800.0,0.534372,0.02006031,0.020023448,0.020016152,0.40552813,0.55374783,0.2746686,0.0592233,0.008252427,0.8776978,0.12230216,0.36651674,0.0625,1.0,-0.13214286,-0.33333334,-0.025,0.4,-0.25,0.1,0.25,14400,4,4
362.0,9.0,626.0,0.48465267,1.0,0.5961995,15.0,15.0,15.0,1.0,4.9552717,7.0,-1.0,255.0,134.85715,18800.0,843300.0,263228.56,1971.8408,15497.569,4866.528,624.0,14900.0,3624.2856,0.028627757,0.028582959,0.028588625,0.028587885,0.8856128,0.46731362,0.12590308,0.036741216,0.009584664,0.79310346,0.20689656,0.33673066,0.1,0.85,-0.2048611,-0.4,-0.125,0.85,0.25,0.35,0.25,5600,0,5
345.0,10.0,364.0,0.58055556,1.0,0.7627907,8.0,3.0,1.0,0.0,4.7060437,9.0,-1.0,1000.0,366.95444,5400.0,843300.0,195444.44,1560.8334,3574.4285,2466.6555,1400.0,1600.0,1500.0,0.79405403,0.02224778,0.13916074,0.022314567,0.02222288,0.25972223,0.1545139,0.032967035,0.010989011,0.75,0.25,0.36458334,0.25,1.0,-0.16666667,-0.25,-0.05,0.0,0.0,0.5,0.0,867,2,1
268.0,12.0,3351.0,0.31609023,1.0,0.49712795,13.0,5.0,12.0,0.0,4.602208,10.0,-1.0,1200.0,284.3989,0.0,843300.0,183780.0,0.0,4386.5,3022.9363,2900.0,45900.0,17766.666,0.3880555,0.02001791,0.29096094,0.020122698,0.28084296,0.47293296,0.05262278,0.030140257,0.017308267,0.6352201,0.36477986,0.31152523,0.033333335,0.8,-0.31944102,-1.0,-0.025,0.0,0.0,0.5,0.0,16500,2,1
386.0,13.0,901.0,0.44904816,1.0,0.6437008,7.0,4.0,1.0,1.0,4.399556,6.0,-1.0,183.0,77.166664,27700.0,843300.0,217816.67,2861.9116,3521.093,3183.1704,1700.0,6900.0,3675.0,0.03346118,0.03333819,0.033398613,0.033333533,0.8664685,0.42476907,0.05451558,0.03218646,0.022197558,0.59183675,0.40816328,0.32968354,0.05,0.7,-0.28371033,-1.0,-0.071428575,0.0,0.0,0.5,0.0,1700,4,2
