Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
Nov,2,2,1,2,New_Visitor,False,False
May,1,1,4,3,Returning_Visitor,False,False
May,1,1,8,1,Returning_Visitor,False,False
Nov,4,1,1,10,Returning_Visitor,True,False
May,2,2,4,2,Returning_Visitor,False,False
May,2,2,1,3,Returning_Visitor,False,False
June,4,1,3,3,Returning_Visitor,False,False
May,2,2,6,5,New_Visitor,False,False
Dec,2,10,7,2,Returning_Visitor,True,True
May,1,1,6,1,Returning_Visitor,True,False
Dec,2,2,3,1,Returning_Visitor,False,False
Mar,3,3,1,10,Returning_Visitor,False,False
Dec,3,2,3,2,New_Visitor,False,False
May,1,1,8,1,Returning_Visitor,False,False
Nov,1,1,4,10,Returning_Visitor,True,False
May,2,2,1,3,Returning_Visitor,False,False
Nov,2,6,5,3,Returning_Visitor,True,False
Dec,1,1,3,1,Returning_Visitor,False,False
Nov,2,2,7,3,Returning_Visitor,False,True
Mar,1,2,8,1,Returning_Visitor,False,False
May,1,8,1,11,Returning_Visitor,True,True
Jul,2,2,9,1,Returning_Visitor,False,False
Dec,2,2,1,1,Returning_Visitor,False,False
Dec,2,2,4,1,Returning_Visitor,False,False
Nov,3,2,4,2,Returning_Visitor,True,False
Sep,2,2,1,3,Returning_Visitor,False,True
May,2,2,1,4,Returning_Visitor,True,True
May,1,1,8,5,New_Visitor,False,False
May,4,1,9,4,Returning_Visitor,False,False
Dec,2,2,1,13,Returning_Visitor,False,False
Nov,2,2,9,2,Returning_Visitor,False,True
Dec,2,2,1,10,Returning_Visitor,False,False
Jul,3,2,3,2,Returning_Visitor,False,False
Nov,8,2,9,2,New_Visitor,False,False
Nov,1,1,4,10,Returning_Visitor,True,True
Dec,2,2,4,2,Returning_Visitor,False,False
Nov,2,7,1,2,Returning_Visitor,True,True
Nov,2,2,4,1,Returning_Visitor,False,True
Sep,2,2,9,2,New_Visitor,False,False
Oct,2,2,1,20,Returning_Visitor,False,True
May,2,2,3,3,Returning_Visitor,False,False
Oct,1,1,3,2,Returning_Visitor,False,True
