dataset,method,score_W1_train,score_W1_test,R2_real_mean,R2_fake_mean,R2_both_mean,f1_real_mean,f1_fake_mean,f1_both_mean,coverage_train,coverage_test,percent_bias,coverage_rate,AW,f1_class,time_taken,density_shape,density_trend,density_overall,mle,c2st,R2_real_lin,R2_fake_lin,R2_both_lin,f1_real_lin,f1_fake_lin,f1_both_lin,R2_real_linboost,R2_fake_linboost,R2_both_linboost,f1_real_linboost,f1_fake_linboost,f1_both_linboost,R2_real_tree,R2_fake_tree,R2_both_tree,f1_real_tree,f1_fake_tree,f1_both_tree,R2_real_treeboost,R2_fake_treeboost,R2_both_treeboost,f1_real_treeboost,f1_fake_treeboost,f1_both_treeboost
car,forest_diffusion n_t=50 n_t_sampling=50 model=xgboost diffusion=vp duplicate_K=100 ycond=False depth=7 n_trees=100 eta=0.3 ,0.5541726965750192,1.0143817148083514,0.0,0.0,0.0,0.8426073660481619,0.5900837391529282,0.6985681270746593,0.4838398456343464,0.6161849710982659,0.0,0.0,0.0,"[0.31314477687319964, 0.32663443500495204, 0.3213493612026264, 0.3241488128836133, 0.31585118416234037, 0.3167166447258284, 0.32203936805751365, 0.3268393319879478, 0.32454048787440404, 0.309893714082511, 0.3117248291099859, 0.3287572692373174, 0.30388132970980164, 0.3165083168194712, 0.30394888418087435]",266.46747056643164,0.9819171662876439,0.9648335745296673,0.9733753704086554,0.966179851928781,0.9821480834846512,0.0,0.0,0.0,0.8649293999085294,0.6249566847263245,0.736831494445146,0.0,0.0,0.0,0.6591272742228935,0.5400944907202812,0.6109410148322301,0.0,0.0,0.0,0.8858295825073342,0.5760020087326551,0.7119436288614098,0.0,0.0,0.0,0.960543207553891,0.6192817724324522,0.7345563701598511
car,forest_diffusion n_t=50 n_t_sampling=50 model=xgboost diffusion=flow duplicate_K=100 ycond=True depth=7 n_trees=100 eta=0.3 ,0.5131210805595813,0.9981833594048559,0.0,0.0,0.0,0.8426073660481619,0.7274522484791403,0.7870358286602357,0.522624216111915,0.6242774566473989,0.0,0.0,0.0,"[0.2948557559925544, 0.2998909510574944, 0.3099513643792692, 0.30559230263530834, 0.30872796767423216, 0.3107698842881831, 0.31592303855758125, 0.30360006836689596, 0.31432510292412136, 0.28148216109206026, 0.30270397241065206, 0.30471089998780987, 0.29999843384756175, 0.3059320436788022, 0.3074142952306995]",237.63141870498657,0.9817655571635311,0.9733719247467438,0.9775687409551376,0.9828582925934164,0.987514173478554,0.0,0.0,0.0,0.8649293999085294,0.7727407113887567,0.828389800440751,0.0,0.0,0.0,0.6591272742228935,0.6159218746437717,0.6652850839064323,0.0,0.0,0.0,0.8858295825073342,0.7521471559207435,0.8232118363786973,0.0,0.0,0.0,0.960543207553891,0.7689992519632892,0.8312565939150626
iris,forest_diffusion n_t=50 n_t_sampling=50 model=xgboost diffusion=vp duplicate_K=100 ycond=False depth=7 n_trees=100 eta=0.3 ,0.20785981711866447,0.3129708936956978,0.0,0.0,0.0,0.9715013543960914,0.9210086224833984,0.9320258624265444,0.805,0.9133333333333331,0.0,0.0,0.0,"[0.3753026196785369, 0.37775693898225415, 0.3584854252672706, 0.38948444449364217, 0.36899108901911915, 0.39110329819829126, 0.37464565209288725, 0.36264801405235547, 0.40189130495076214, 0.36496103180614525, 0.3730936566719473, 0.38324007546209315, 0.3763530994626748, 0.38761024531381805, 0.38522119596741383]",41.31237069765727,0.9024444444444444,0.8974169151607501,0.8999306798025973,0.9949999999999999,0.9723055555555555,0.0,0.0,0.0,0.9999999999999999,0.9619850974236938,0.9754267824443262,0.0,0.0,0.0,0.9664143523792645,0.8131216752472789,0.8380058150471394,0.0,0.0,0.0,0.9642878239369463,0.96265939159644,0.9637950094090444,0.0,0.0,0.0,0.9553032412681534,0.9462683256661808,0.9508758428056672
iris,forest_diffusion n_t=50 n_t_sampling=50 model=xgboost diffusion=flow duplicate_K=100 ycond=True depth=7 n_trees=100 eta=0.3 ,0.1852276107897276,0.318195088156536,0.0,0.0,0.0,0.9715013543960914,0.9560826152803539,0.9622475413822387,0.945,0.9311111111111109,0.0,0.0,0.0,"[0.3793374265467113, 0.3774402071888991, 0.37173999051991063, 0.3682654651005246, 0.3834346560923197, 0.37427359007636996, 0.3642812774924636, 0.3739084701244368, 0.39686371717508734, 0.36996081815405035, 0.3820406289762697, 0.37083706758367435, 0.38317172086787543, 0.3953710069280256, 0.37953761776416967]",100.91246581077576,0.9057777777777777,0.9002489580233191,0.9030133679005484,0.9882222222222222,0.9845277777777777,0.0,0.0,0.0,0.9999999999999999,0.9687319308371938,0.9843379492502298,0.0,0.0,0.0,0.9664143523792645,0.952620922996478,0.936906083269434,0.0,0.0,0.0,0.9642878239369463,0.9611463000936683,0.9655907445381129,0.0,0.0,0.0,0.9553032412681534,0.9418313071940746,0.9621553884711778
iris,forest_diffusion n_t=50 n_t_sampling=50 model=xgboost diffusion=flow duplicate_K=100 ycond=False depth=7 n_trees=100 eta=0.3 ,0.23235124430830031,0.3451077520113108,0.0,0.0,0.0,0.9715013543960914,0.9201430234673709,0.9663373356492662,0.9255555555555556,0.9266666666666666,0.0,0.0,0.0,"[0.3498580509253035, 0.36474102231907923, 0.41419053201218525, 0.40366767844231255, 0.38249237664644514, 0.39456117833624804, 0.3893215479402509, 0.38468836433987447, 0.41802122107979167, 0.3545212361689008, 0.3852990841059103, 0.38120076738308495, 0.39960502605341836, 0.3667610171291583, 0.40605117666259]",97.69180401166281,0.8926666666666668,0.894643919997827,0.8936552933322469,0.9854444444444445,0.9660555555555553,0.0,0.0,0.0,0.9999999999999999,0.9686556070008305,0.9888272870729009,0.0,0.0,0.0,0.9664143523792645,0.7893899010438212,0.9417514589991818,0.0,0.0,0.0,0.9642878239369463,0.9763628600119827,0.9772562719931139,0.0,0.0,0.0,0.9553032412681534,0.9461637258128485,0.9575143245318682
iris,forest_diffusion n_t=50 n_t_sampling=50 model=xgboost diffusion=vp duplicate_K=100 ycond=False depth=7 n_trees=100 eta=0.3 ,0.20785981711866447,0.3129708936956978,0.0,0.0,0.0,0.9715013543960914,0.9210086224833984,0.9320258624265444,0.805,0.9133333333333331,0.0,0.0,0.0,"[0.3753026196785369, 0.37775693898225415, 0.3584854252672706, 0.38948444449364217, 0.36899108901911915, 0.39110329819829126, 0.37464565209288725, 0.36264801405235547, 0.40189130495076214, 0.36496103180614525, 0.3730936566719473, 0.38324007546209315, 0.3763530994626748, 0.38761024531381805, 0.38522119596741383]",102.03554471333823,0.9024444444444444,0.8974169151607501,0.8999306798025973,0.9949999999999999,0.9723055555555555,0.0,0.0,0.0,0.9999999999999999,0.9619850974236938,0.9754267824443262,0.0,0.0,0.0,0.9664143523792645,0.8131216752472789,0.8380058150471394,0.0,0.0,0.0,0.9642878239369463,0.96265939159644,0.9637950094090444,0.0,0.0,0.0,0.9553032412681534,0.9462683256661808,0.9508758428056672
iris,forest_diffusion n_t=50 n_t_sampling=50 model=xgboost diffusion=vp duplicate_K=100 ycond=True depth=7 n_trees=100 eta=0.3 ,0.22339904392879245,0.325679541696805,0.0,0.0,0.0,0.9715013543960914,0.9542634322141432,0.9681009894037669,0.837777777777778,0.9333333333333331,0.0,0.0,0.0,"[0.3661775795924628, 0.38577165592594814, 0.3859976501895087, 0.3729379096841246, 0.3515462472645214, 0.3912369640649356, 0.3460212268562129, 0.3894935094374004, 0.3840084266178354, 0.3735607714007161, 0.3925113661550978, 0.38371000236957453, 0.362714799517174, 0.4010646658108255, 0.35422108806969943]",111.06231141090393,0.9014444444444445,0.8974409274211078,0.8994426859327761,0.9883333333333333,0.9716388888888888,0.0,0.0,0.0,0.9999999999999999,0.9641662691781594,0.9843379492502298,0.0,0.0,0.0,0.9664143523792645,0.947997097119904,0.945987748742718,0.0,0.0,0.0,0.9642878239369463,0.9631711655761549,0.9799228711509413,0.0,0.0,0.0,0.9553032412681534,0.9417191969823547,0.9621553884711778
iris,forest_diffusion n_t=50 n_t_sampling=50 model=xgboost diffusion=mixed-flow duplicate_K=100 ycond=True depth=7 n_trees=100 eta=0.3 ,0.18247098889179958,0.31829306392544443,0.0,0.0,0.0,0.9715013543960914,0.9614065129152848,0.9652163869269133,0.9355555555555557,0.9199999999999998,0.0,0.0,0.0,"[0.3761376988580706, 0.37533175494474297, 0.37689461919725586, 0.3630974306620268, 0.3823314614676259, 0.3806723630330525, 0.3924270795584028, 0.3799355970543513, 0.3853942145157404, 0.3715034804739742, 0.39024203611834324, 0.3597216119612945, 0.3812717780523082, 0.3827887444774418, 0.3682185838693357]",115.05127278963725,0.905,0.9007056284471553,0.9028528142235777,0.9872222222222222,0.9859166666666667,0.0,0.0,0.0,0.9999999999999999,0.9709485835801623,0.9821439119684733,0.0,0.0,0.0,0.9664143523792645,0.9620374167742587,0.9509890044977763,0.0,0.0,0.0,0.9642878239369463,0.9664840890104047,0.965577242770225,0.0,0.0,0.0,0.9553032412681534,0.946155962296313,0.9621553884711778
car,forest_diffusion n_t=50 n_t_sampling=50 model=xgboost diffusion=vp duplicate_K=100 ycond=False depth=7 n_trees=100 eta=0.3 ,0.5541726965750192,1.0143817148083514,0.0,0.0,0.0,0.8426073660481619,0.5900837391529282,0.6985681270746593,0.4838398456343464,0.6161849710982659,0.0,0.0,0.0,"[0.31314477687319964, 0.32663443500495204, 0.3213493612026264, 0.3241488128836133, 0.31585118416234037, 0.3167166447258284, 0.32203936805751365, 0.3268393319879478, 0.32454048787440404, 0.309893714082511, 0.3117248291099859, 0.3287572692373174, 0.30388132970980164, 0.3165083168194712, 0.30394888418087435]",325.58704686164856,0.9819171662876439,0.9648335745296673,0.9733753704086554,0.966179851928781,0.9821480834846512,0.0,0.0,0.0,0.8649293999085294,0.6249566847263245,0.736831494445146,0.0,0.0,0.0,0.6591272742228935,0.5400944907202812,0.6109410148322301,0.0,0.0,0.0,0.8858295825073342,0.5760020087326551,0.7119436288614098,0.0,0.0,0.0,0.960543207553891,0.6192817724324522,0.7345563701598511
wine,forest_diffusion n_t=50 n_t_sampling=50 model=xgboost diffusion=mixed-flow duplicate_K=100 ycond=True depth=7 n_trees=100 eta=0.3 ,0.8558920355413729,1.4533060897225403,0.0,0.0,0.0,0.9585582380914485,0.9394843371491673,0.964972341492985,0.9708920187793427,0.9574074074074073,0.0,0.0,0.0,"[0.31674624961296904, 0.28238075487079667, 0.28345282132433836, 0.30097955476630744, 0.3159956561817809, 0.27962900057823675, 0.322157800013244, 0.313681647336849, 0.30861115822780466, 0.31316848235666406, 0.2862025568976015, 0.3203729336228718, 0.2944651819175539, 0.31463068803548183, 0.30386691236900776]",234.97301308314005,0.9212608987256875,0.8834802193342163,0.9023705590299518,0.9959656007572675,0.9959014469426419,0.0,0.0,0.0,0.946394619026198,0.9481821008966559,0.9579951159951159,0.0,0.0,0.0,0.9093720944456758,0.8624034610417672,0.9376841017324649,0.0,0.0,0.0,0.9982675329002167,0.9896155741106061,0.9958420789605198,0.0,0.0,0.0,0.9801987059937031,0.9577362125476401,0.9683680692838392
