dataset,method,score_W1_train,score_W1_test,R2_real_mean,R2_fake_mean,R2_both_mean,f1_real_mean,f1_fake_mean,f1_both_mean,coverage_train,coverage_test,percent_bias,coverage_rate,AW,f1_class,time_taken,density_shape,density_trend,density_overall,mle,c2st,R2_real_lin,R2_fake_lin,R2_both_lin,f1_real_lin,f1_fake_lin,f1_both_lin,R2_real_linboost,R2_fake_linboost,R2_both_linboost,f1_real_linboost,f1_fake_linboost,f1_both_linboost,R2_real_tree,R2_fake_tree,R2_both_tree,f1_real_tree,f1_fake_tree,f1_both_tree,R2_real_treeboost,R2_fake_treeboost,R2_both_treeboost,f1_real_treeboost,f1_fake_treeboost,f1_both_treeboost
iris,forest_diffusion n_t=50 n_t_sampling=50 model=xgboost diffusion=mixed-flow duplicate_K=100 ycond=False depth=7 n_trees=100 eta=0.3 ,0.2356910182466156,0.3633546489714603,0.0,0.0,0.0,0.9580494797600061,0.9509002758582109,0.9536437842131744,0.925,0.8666666666666667,0.0,0.0,0.0,"[0.3964354832138102, 0.3766913860470517, 0.3871488901959199, 0.36161483244533466]",40.402480721473694,0.8833333333333334,0.9026485028874256,0.8929909181103793,0.9762500000000001,0.973125,0.0,0.0,0.0,1.0,0.9748107642844485,0.9832915622389307,0.0,0.0,0.0,0.949621528568897,0.9162545805600052,0.9064506589913778,0.0,0.0,0.0,0.949621528568897,0.9707602339181286,0.9665831244778613,0.0,0.0,0.0,0.9329548619022303,0.9417755246702615,0.958249791144528
iris,forest_diffusion n_t=50 n_t_sampling=50 model=xgboost diffusion=flow duplicate_K=100 ycond=True depth=7 n_trees=100 eta=0.3 ,0.23660370597437186,0.36923003182960407,0.0,0.0,0.0,0.9580494797600061,0.9623563327510696,0.9590288489248645,0.9166666666666667,0.8833333333333333,0.0,0.0,0.0,"[0.38527424536334276, 0.37471981007438615, 0.38011035303662033, 0.3738518835706532]",40.09246742725372,0.8970833333333333,0.8940871774400094,0.8955852553866713,0.97375,0.9464583333333334,0.0,0.0,0.0,1.0,0.9832915622389307,1.0,0.0,0.0,0.0,0.949621528568897,0.9664565454039138,0.9324002998790992,0.0,0.0,0.0,0.949621528568897,0.974937343358396,0.9622794359636465,0.0,0.0,0.0,0.9329548619022303,0.924739880003038,0.9414356598567125
iris,forest_diffusion n_t=50 n_t_sampling=50 model=xgboost diffusion=vp duplicate_K=100 ycond=True depth=7 n_trees=100 eta=0.3 ,0.26086418706945247,0.3671992352953653,0.0,0.0,0.0,0.9580494797600061,0.9464104974907237,0.9580003939490411,0.8729166666666667,0.8916666666666667,0.0,0.0,0.0,"[0.3888899074338887, 0.3984575243763718, 0.3729651581339942, 0.4035055068325795]",41.54635405540466,0.8883333333333333,0.9009235443102048,0.8946284388217691,0.995,0.9532291666666667,0.0,0.0,0.0,1.0,0.9665831244778613,0.9916457811194653,0.0,0.0,0.0,0.949621528568897,0.9408810978335813,0.9324002998790991,0.0,0.0,0.0,0.949621528568897,0.9539252170831118,0.9665198349408876,0.0,0.0,0.0,0.9329548619022303,0.9242525505683401,0.9414356598567125
wine,forest_diffusion n_t=50 n_t_sampling=50 model=xgboost diffusion=mixed-flow duplicate_K=100 ycond=False depth=7 n_trees=100 eta=0.3 ,0.9815280571968121,1.4923388423839576,0.0,0.0,0.0,0.9485913299676073,0.9465737234827372,0.9546937653731131,0.9471830985915493,0.9375,0.0,0.0,0.0,"[0.3190521683397291, 0.32318848936139055, 0.3216186381025009, 0.35033292142955264]",169.6586138010025,0.9141096579476861,0.8726033447965874,0.8933565013721367,0.9956038174788174,0.9995567375886525,0.0,0.0,0.0,0.9470156159629843,0.921975986975987,0.9615194681861348,0.0,0.0,0.0,0.8770516449168899,0.9133931951059613,0.864847035680369,0.0,0.0,0.0,1.0,0.9870834952893923,1.0,0.0,0.0,0.0,0.970298058990555,0.9638422165596079,0.9924085576259489
wine,forest_diffusion n_t=50 n_t_sampling=50 model=xgboost diffusion=flow duplicate_K=100 ycond=True depth=7 n_trees=100 eta=0.3 ,0.9161192091783483,1.4531086618029259,0.0,0.0,0.0,0.9485913299676073,0.9417791604422466,0.9637543422034565,0.9577464788732395,0.9236111111111112,0.0,0.0,0.0,"[0.30102493707544054, 0.3030411436492645, 0.29766171077901726, 0.3151180304657748]",282.79451858997345,0.9074446680080481,0.8751739606891091,0.8913093143485787,0.9959871147371148,0.994116556008249,0.0,0.0,0.0,0.9470156159629843,0.8931475831285138,0.9542845004248512,0.0,0.0,0.0,0.8770516449168899,0.8933053164375003,0.9368424851901535,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.970298058990555,0.9806637422029726,0.9638903831988213
wine,forest_diffusion n_t=50 n_t_sampling=50 model=xgboost diffusion=vp duplicate_K=100 ycond=True depth=7 n_trees=100 eta=0.3 ,1.0010357110707813,1.4538577852868144,0.0,0.0,0.0,0.9485913299676073,0.9353658117559401,0.9649625809564109,0.9559859154929576,0.9513888888888888,0.0,0.0,0.0,"[0.3416366881165991, 0.32997794659489255, 0.30387776750557555, 0.30345284850726745]",290.50907850265503,0.9113430583501007,0.869869373506601,0.8906062159283508,0.9943726701539201,1.0,0.0,0.0,0.0,0.9470156159629843,0.9007211884707347,0.9670690615427459,0.0,0.0,0.0,0.8770516449168899,0.93994708994709,0.9143261561482099,0.0,0.0,0.0,1.0,0.9739906814269632,1.0,0.0,0.0,0.0,0.970298058990555,0.9268042871789725,0.9784551061346874
parkinsons,forest_diffusion n_t=50 n_t_sampling=50 model=xgboost diffusion=mixed-flow duplicate_K=100 ycond=False depth=7 n_trees=100 eta=0.3 ,1.1756422701272253,1.7575125982518824,0.0,0.0,0.0,0.8379705054530294,0.7528499969385083,0.8315020437306566,0.7916666666666666,0.8974358974358974,0.0,0.0,0.0,"[0.35231801572536037, 0.36253517488878456, 0.386897333248055, 0.3793230659106202]",410.7242238521576,0.9124163879598662,0.9620398937317459,0.9372281408458061,0.8853448275862068,0.9888436883629191,0.0,0.0,0.0,0.7564674397859054,0.7384276687000548,0.7547879048878772,0.0,0.0,0.0,0.8655172413793104,0.7399889268851089,0.8513724282457557,0.0,0.0,0.0,0.8584855627696066,0.7585731469895682,0.851740603353923,0.0,0.0,0.0,0.8714117778772952,0.7744102451793015,0.8681072384350706
iris,forest_diffusion n_t=50 n_t_sampling=50 model=xgboost diffusion=flow duplicate_K=100 ycond=False depth=7 n_trees=100 eta=0.3 ,0.24576850852542234,0.36262930356509127,0.0,0.0,0.0,0.9580494797600061,0.9217412357695931,0.9483735442839966,0.9333333333333333,0.9083333333333333,0.0,0.0,0.0,"[0.3479655932768457, 0.369751279027824, 0.39487518855608317, 0.36724481619900773]",84.79846978187561,0.8875000000000001,0.895703019999069,0.8916015099995345,0.9908333333333333,0.9635416666666666,0.0,0.0,0.0,1.0,0.9665135059871902,0.9831649831649831,0.0,0.0,0.0,0.949621528568897,0.8294360197599754,0.9151790711893013,0.0,0.0,0.0,0.949621528568897,0.9664565454039138,0.9623427255006202,0.0,0.0,0.0,0.9329548619022303,0.924558871927293,0.9328073972810815
iris,forest_diffusion n_t=50 n_t_sampling=50 model=xgboost diffusion=vp duplicate_K=100 ycond=False depth=7 n_trees=100 eta=0.3 ,0.20245836229923303,0.29912452912028953,0.0,0.0,0.0,0.9580494797600061,0.919669085880891,0.9495934865289758,0.8104166666666668,0.8833333333333333,0.0,0.0,0.0,"[0.37301164265298486, 0.3707799279599785, 0.3689578949245115, 0.3770334232625226]",89.18191981315613,0.8979166666666667,0.8799983967828262,0.8889575317247465,0.98875,0.9484375,0.0,0.0,0.0,1.0,0.9581023265233791,0.9581023265233791,0.0,0.0,0.0,0.949621528568897,0.846605003557487,0.9408810978335813,0.0,0.0,0.0,0.949621528568897,0.9494949494949494,0.9581023265233791,0.0,0.0,0.0,0.9329548619022303,0.9244740639477482,0.9412881952355637
iris,forest_diffusion n_t=50 n_t_sampling=50 model=xgboost diffusion=mixed-flow duplicate_K=100 ycond=False depth=7 n_trees=100 eta=0.3 ,0.2356910182466156,0.3633546489714603,0.0,0.0,0.0,0.9580494797600061,0.9509002758582109,0.9536437842131744,0.925,0.8666666666666667,0.0,0.0,0.0,"[0.3964354832138102, 0.3766913860470517, 0.3871488901959199, 0.36161483244533466]",93.30465614795685,0.8833333333333334,0.9026485028874256,0.8929909181103793,0.9762500000000001,0.973125,0.0,0.0,0.0,1.0,0.9748107642844485,0.9832915622389307,0.0,0.0,0.0,0.949621528568897,0.9162545805600052,0.9064506589913778,0.0,0.0,0.0,0.949621528568897,0.9707602339181286,0.9665831244778613,0.0,0.0,0.0,0.9329548619022303,0.9417755246702615,0.958249791144528
