dataset,method,score_W1_train,score_W1_test,R2_real_mean,R2_fake_mean,R2_both_mean,f1_real_mean,f1_fake_mean,f1_both_mean,coverage_train,coverage_test,percent_bias,coverage_rate,AW,f1_class,time_taken,density_shape,density_trend,density_overall,mle,c2st,R2_real_lin,R2_fake_lin,R2_both_lin,f1_real_lin,f1_fake_lin,f1_both_lin,R2_real_linboost,R2_fake_linboost,R2_both_linboost,f1_real_linboost,f1_fake_linboost,f1_both_linboost,R2_real_tree,R2_fake_tree,R2_both_tree,f1_real_tree,f1_fake_tree,f1_both_tree,R2_real_treeboost,R2_fake_treeboost,R2_both_treeboost,f1_real_treeboost,f1_fake_treeboost,f1_both_treeboost
congress,forest_diffusion n_t=50 n_t_sampling=50 model=xgboost diffusion=flow duplicate_K=100 ycond=True depth=7 n_trees=100 eta=0.3 ,1.7162356321839083,2.568247126436777,0.0,0.0,0.0,0.9474649443643604,0.9323694002811636,0.9373054246058491,0.887212643678161,0.9080459770114943,0.0,0.0,0.0,"[0.3226271064577827, 0.32388662887954545, 0.29660186366460706, 0.31225073268147613]",1294.1743607521057,0.9708840432724813,0.9506080039248669,0.9607460235986741,0.984739178690344,0.9901035473642488,0.0,0.0,0.0,0.9276631622748943,0.9281523729893295,0.9184363512101787,0.0,0.0,0.0,0.9578955254537624,0.9282065595952942,0.9364204385046028,0.0,0.0,0.0,0.9522460215068376,0.9356354280759986,0.9478977768418171,0.0,0.0,0.0,0.9520550682219473,0.9374832404640321,0.9464671318667979
tictactoe,forest_diffusion n_t=50 n_t_sampling=50 model=xgboost diffusion=flow duplicate_K=100 ycond=True depth=7 n_trees=100 eta=0.3 ,1.213446475195816,1.9118934943428947,0.0,0.0,0.0,0.941158199640085,0.7985738360665962,0.8497211061757269,0.7969973890339426,0.7760416666666667,0.0,0.0,0.0,"[0.3158550872720369, 0.29890093777467597]",102.83520865440369,0.9753916449086162,0.97911227154047,0.9772519582245431,0.9474029850746268,0.9923889950179419,0.0,0.0,0.0,0.9884559884559885,0.7186454273895684,0.78743961352657,0.0,0.0,0.0,0.7991835082155269,0.7248857478698135,0.749941255177244,0.0,0.0,0.0,0.9884559884559885,0.863663722030537,0.932161049504121,0.0,0.0,0.0,0.9885373134328358,0.8871004469764656,0.9293425064949725
congress,forest_diffusion n_t=50 n_t_sampling=50 model=xgboost diffusion=flow duplicate_K=100 ycond=True depth=7 n_trees=100 eta=0.3 ,1.702586206896553,2.632183908045973,0.0,0.0,0.0,0.957441083605224,0.9391800734933967,0.9512216397637219,0.9037356321839081,0.9367816091954022,0.0,0.0,0.0,"[0.3226271064577827, 0.32388662887954545]",223.9391574859619,0.9623056118999325,0.9420206055508831,0.9521631087254078,0.980299667036626,0.9838362068965516,0.0,0.0,0.0,0.9386026817219477,0.9399585921325051,0.9320456820456821,0.0,0.0,0.0,0.9635932487097225,0.9396503884572697,0.9448905664501994,0.0,0.0,0.0,0.9639751552795031,0.9368640606365597,0.9639751552795031,0.0,0.0,0.0,0.9635932487097225,0.9402472527472527,0.9639751552795031
car,forest_diffusion n_t=50 n_t_sampling=50 model=xgboost diffusion=flow duplicate_K=100 ycond=True depth=7 n_trees=100 eta=0.3 ,0.5177279305354618,0.9819395531315205,0.0,0.0,0.0,0.8221471065066798,0.7498967550554524,0.7960534956602627,0.5198986975397974,0.6315028901734103,0.0,0.0,0.0,"[0.2980629531760923, 0.304486310210636]",120.1949360370636,0.9782923299565847,0.9679811866859623,0.9731367583212734,0.9788356699551983,0.9955169920462763,0.0,0.0,0.0,0.8541542501729696,0.7976105959865547,0.8268605994708856,0.0,0.0,0.0,0.5851672700654836,0.6658840904882826,0.6790377459917958,0.0,0.0,0.0,0.900235798060312,0.7522669879244963,0.8332201937813973,0.0,0.0,0.0,0.9490311077279538,0.783825345822476,0.8450954433969721
tictactoe,forest_diffusion n_t=50 n_t_sampling=50 model=xgboost diffusion=flow duplicate_K=100 ycond=False depth=7 n_trees=100 eta=0.3 ,1.3035248041775407,1.9644867819843195,0.0,0.0,0.0,0.941158199640085,0.7322422618134825,0.8256072208952081,0.7434725848563968,0.7395833333333334,0.0,0.0,0.0,"[0.30621256008939696, 0.31079283978815603]",83.73832893371582,0.9789164490861619,0.9719321148825065,0.9754242819843343,0.8322388059701493,0.999453635620915,0.0,0.0,0.0,0.9884559884559885,0.7100346057388663,0.7655386276716717,0.0,0.0,0.0,0.7991835082155269,0.7109286320800714,0.7408819460845508,0.0,0.0,0.0,0.9884559884559885,0.7605226265540187,0.9021018007018606,0.0,0.0,0.0,0.9885373134328358,0.7474831828809735,0.8939065091227497
congress,forest_diffusion n_t=50 n_t_sampling=50 model=xgboost diffusion=flow duplicate_K=100 ycond=False depth=7 n_trees=100 eta=0.3 ,1.994252873563219,2.785919540229881,0.0,0.0,0.0,0.957441083605224,0.9331352036943894,0.9533395871963541,0.8433908045977012,0.9367816091954022,0.0,0.0,0.0,"[0.3142408604962911, 0.3241134345861645]",153.83513069152832,0.9715179175118324,0.9277228763666948,0.9496203969392636,0.980715871254162,0.9847280023781213,0.0,0.0,0.0,0.9386026817219477,0.9169275319275318,0.9455685216554781,0.0,0.0,0.0,0.9635932487097225,0.9228728229520533,0.9514493809721334,0.0,0.0,0.0,0.9639751552795031,0.9584622558627353,0.9582539674191527,0.0,0.0,0.0,0.9635932487097225,0.9342782040352373,0.9580864787386526
car,forest_diffusion n_t=50 n_t_sampling=50 model=xgboost diffusion=flow duplicate_K=100 ycond=False depth=7 n_trees=100 eta=0.3 ,0.5658465991317005,1.0219983604226213,0.0,0.0,0.0,0.8221471065066798,0.5841817299724485,0.7051639399144348,0.48154848046309695,0.6170520231213873,0.0,0.0,0.0,"[0.3156927959369825, 0.3234221923725974]",95.92065262794495,0.9789642340293572,0.9596599131693199,0.9693120735993386,0.4771414894768174,0.9793269841568597,0.0,0.0,0.0,0.8541542501729696,0.6331324853379825,0.7575128596347858,0.0,0.0,0.0,0.5851672700654836,0.5421571017548754,0.6396819062241212,0.0,0.0,0.0,0.900235798060312,0.53165433372401,0.698518185765174,0.0,0.0,0.0,0.9490311077279538,0.6297829990729259,0.7249428080336584
tictactoe,forest_diffusion n_t=50 n_t_sampling=50 model=xgboost diffusion=vp duplicate_K=100 ycond=True depth=7 n_trees=100 eta=0.3 ,1.1945169712793682,1.9028707027850178,0.0,0.0,0.0,0.941158199640085,0.8237243347909482,0.8759248409838283,0.8159268929503916,0.7890625,0.0,0.0,0.0,"[0.29955565951614527, 0.2999766121820949]",103.9367344379425,0.9840731070496083,0.975195822454308,0.9796344647519581,0.9833432835820896,0.9941636029411764,0.0,0.0,0.0,0.9884559884559885,0.7337401474701245,0.793903680713268,0.0,0.0,0.0,0.7991835082155269,0.7248519895360044,0.7602835121083296,0.0,0.0,0.0,0.9884559884559885,0.9091541408682741,0.9753333465175877,0.0,0.0,0.0,0.9885373134328358,0.9271510612893897,0.9741788245961279
congress,forest_diffusion n_t=50 n_t_sampling=50 model=xgboost diffusion=vp duplicate_K=100 ycond=True depth=7 n_trees=100 eta=0.3 ,1.764367816091955,2.6235632183908026,0.0,0.0,0.0,0.957441083605224,0.9322924074439722,0.9464597768064997,0.8735632183908046,0.896551724137931,0.0,0.0,0.0,"[0.2900676539390404, 0.2896977137151266]",231.3928370475769,0.9709263015551048,0.9488190356041493,0.959872668579627,0.9859877913429523,1.0,0.0,0.0,0.0,0.9386026817219477,0.9386026817219477,0.9258522727272727,0.0,0.0,0.0,0.9635932487097225,0.9208121102797253,0.9322274772246102,0.0,0.0,0.0,0.9639751552795031,0.9363035641084185,0.9639751552795031,0.0,0.0,0.0,0.9635932487097225,0.9334512736657972,0.9637842019946128
car,forest_diffusion n_t=50 n_t_sampling=50 model=xgboost diffusion=vp duplicate_K=100 ycond=True depth=7 n_trees=100 eta=0.3 ,0.5097684515195425,0.9949035075245006,0.0,0.0,0.0,0.8221471065066798,0.7304952694012086,0.7928244884270924,0.5246020260492041,0.6141618497109826,0.0,0.0,0.0,"[0.3093794928021848, 0.29735620248847444]",123.50494194030762,0.9822720694645442,0.9743125904486252,0.9782923299565847,0.4942081533521219,0.9949657200117104,0.0,0.0,0.0,0.8541542501729696,0.8109192913516639,0.826923349096456,0.0,0.0,0.0,0.5851672700654836,0.5612145734569398,0.6576542143748636,0.0,0.0,0.0,0.900235798060312,0.7744844732268117,0.8247422188485563,0.0,0.0,0.0,0.9490311077279538,0.775362739569419,0.8619781713884935
