dataset,method,score_W1_train,score_W1_test,R2_real_mean,R2_fake_mean,R2_both_mean,f1_real_mean,f1_fake_mean,f1_both_mean,coverage_train,coverage_test,percent_bias,coverage_rate,AW,f1_class,time_taken,density_shape,density_trend,density_overall,mle,c2st,R2_real_lin,R2_fake_lin,R2_both_lin,f1_real_lin,f1_fake_lin,f1_both_lin,R2_real_linboost,R2_fake_linboost,R2_both_linboost,f1_real_linboost,f1_fake_linboost,f1_both_linboost,R2_real_tree,R2_fake_tree,R2_both_tree,f1_real_tree,f1_fake_tree,f1_both_tree,R2_real_treeboost,R2_fake_treeboost,R2_both_treeboost,f1_real_treeboost,f1_fake_treeboost,f1_both_treeboost
beijing,forest_diffusion n_t=50 n_t_sampling=50 model=xgboost diffusion=mixed-flow duplicate_K=100 ycond=False depth=7 n_trees=100 eta=0.3  quantile=False ,0.0,0.0,0.31586195166259934,0.26144692230958827,0.3906756987165569,0.0,0.0,0.0,0.44377034494381024,0.9283205619412517,42.8150111872507,0.6581196581196581,11.903565846926904,"[np.float64(0.45584492829800666), np.float64(0.455057051215015), np.float64(0.4538633603498291)]",12443.576877832413,0.968030535524748,0.95226496693865,0.9601477512316989,0.6526978015899658,0.9489281702740338,0.4058440015748974,0.38708459639789516,0.40039636178003457,0.0,0.0,0.0,-0.7529268825185267,-0.38327245026389684,-0.33106084004529057,0.0,0.0,0.0,0.8486419400502402,0.52169380839604,0.7981901363732267,0.0,0.0,0.0,0.7618887475437865,0.5202817347083147,0.6951771367582569,0.0,0.0,0.0
default,forest_diffusion n_t=50 n_t_sampling=50 model=xgboost diffusion=mixed-flow duplicate_K=100 ycond=False depth=7 n_trees=100 eta=0.3  quantile=False ,0.0,0.0,0.0,0.0,0.0,0.6505359937006442,0.6268836486668755,0.650967470929879,0.7161975308641976,0.9885555555555554,0.0,0.0,0.0,"[np.float64(0.45000009686713305), np.float64(0.4522342957899642), np.float64(0.45391543238352766)]",11662.200802326202,0.9239861111111112,0.9750635511678685,0.9495248311394898,0.7338825229476988,0.9834745706447188,0.0,0.0,0.0,0.5880331952530229,0.5289218919904317,0.5827350586842642,0.0,0.0,0.0,0.6694145675610773,0.6755272990521681,0.6677246050181945,0.0,0.0,0.0,0.6730820051577864,0.6683584391891587,0.6787634842703054,0.0,0.0,0.0,0.6716142068306901,0.6347269644357434,0.6746467357467524
magic,forest_diffusion n_t=50 n_t_sampling=50 model=xgboost diffusion=mixed-flow duplicate_K=100 ycond=False depth=7 n_trees=100 eta=0.3  quantile=False ,0.0,0.0,0.0,0.0,0.0,0.8366290260438245,0.830842623312787,0.8373543723657928,0.7900527740452962,0.9893094987732212,0.0,0.0,0.0,"[np.float64(0.3967359972794829), np.float64(0.39619983496439726), np.float64(0.39535642607612365)]",365.32771158218384,0.9780565484251879,0.9614497629245358,0.9697531556748618,0.9379357832112256,0.9890760675071013,0.0,0.0,0.0,0.7616647478261975,0.7649034578497178,0.7630906460945035,0.0,0.0,0.0,0.8196345991613145,0.8258855037674828,0.8249204571328432,0.0,0.0,0.0,0.8846795551458764,0.86865769541734,0.8814825236564532,0.0,0.0,0.0,0.8805372020419097,0.8639238362166075,0.8799238625793715
news,forest_diffusion n_t=50 n_t_sampling=50 model=xgboost diffusion=mixed-flow duplicate_K=100 ycond=False depth=7 n_trees=100 eta=0.3  quantile=False ,0.0,0.0,-1.4190442645498857,-1.3104994867665682,-2.191524919652475,0.0,0.0,0.0,0.7169109747096798,0.9844472467423286,171.00823459150573,0.49122807017543857,1780.7137390096052,"[np.float64(0.601977216364077), np.float64(0.47713023647781916), np.float64(0.4820169990990056)]",10270.549335241318,0.8796905509309865,0.9772832043356533,0.9284868776333199,0.8636450370152791,0.9445564189166984,0.024235237659385733,0.021011275438027756,0.024697596505682817,0.0,0.0,0.0,-5.054473144151729,-4.964469923511353,-8.334461817789377,0.0,0.0,0.0,-0.07377970660696676,-0.04972029079885979,-0.05734886912056392,0.0,0.0,0.0,-0.5721594451002323,-0.24881900819408767,-0.39898658820564176,0.0,0.0,0.0
shoppers,forest_diffusion n_t=50 n_t_sampling=50 model=xgboost diffusion=mixed-flow duplicate_K=100 ycond=False depth=7 n_trees=100 eta=0.3  quantile=False ,0.0,0.0,0.0,0.0,0.0,0.7552948831458679,0.771590314458603,0.7658296639103019,0.753176534198432,0.988375236550419,0.0,0.0,0.0,"[np.float64(0.4457721496910934), np.float64(0.4452093707266048), np.float64(0.4551645823692145)]",3535.3491406440735,0.8737746938612037,0.9858522402232817,0.9298134670422427,0.9179546570835939,0.9859220236464299,0.0,0.0,0.0,0.7169621791231797,0.7566847719767626,0.7422798834874571,0.0,0.0,0.0,0.7643940085331629,0.7716768180377536,0.7601912926007468,0.0,0.0,0.0,0.7649509803921568,0.7730000678934762,0.7741270471246777,0.0,0.0,0.0,0.774872364534972,0.7849995999264199,0.7867204324283263
adult,forest_diffusion n_t=50 n_t_sampling=50 model=xgboost diffusion=mixed-flow duplicate_K=100 ycond=False depth=7 n_trees=100 eta=0.3  quantile=False ,0.0,0.0,0.0,0.0,0.0,0.7894619917581123,0.7828398927247501,0.7870666008636238,0.7260219280734621,0.8561513420551563,0.0,0.0,0.0,"[np.float64(0.3874987215821024), np.float64(0.38739928111700034), np.float64(0.3853566296143073)]",17308.93283176422,0.9523745175721468,0.9811737968735603,0.9667741572228536,0.9130092044587828,0.9853011217730088,0.0,0.0,0.0,0.7632229786204203,0.7580229531055225,0.750889947917451,0.0,0.0,0.0,0.7924613935756186,0.7929138967012568,0.7935248641728827,0.0,0.0,0.0,0.7901436634883656,0.788879088159752,0.7942083622884376,0.0,0.0,0.0,0.8120199313480447,0.7915436329324689,0.8096432290757241
beijing,forest_diffusion n_t=50 n_t_sampling=50 model=xgboost diffusion=flow duplicate_K=100 ycond=False depth=7 n_trees=100 eta=0.3  quantile=False ,0.0,0.0,0.31586195166259934,0.24139606039857714,0.39735004358763704,0.0,0.0,0.0,0.41325847280984185,0.9275223499361431,89.94841993314924,0.4487179487179486,10.628032605695807,"[np.float64(0.410660830924938), np.float64(0.4186575649018466), np.float64(0.43093827862197964)]",10078.056262016296,0.9483611695035021,0.9530207985642041,0.9506909840338531,0.6476093729337057,0.8505920331833468,0.4058440015748974,0.368854254973657,0.39278176904205786,0.0,0.0,0.0,-0.7529268825185267,-0.4477763279541871,-0.29816943116458566,0.0,0.0,0.0,0.8486419400502402,0.5273337712036045,0.7959973584890774,0.0,0.0,0.0,0.7618887475437865,0.5171725433712342,0.6987904779839986,0.0,0.0,0.0
default,forest_diffusion n_t=50 n_t_sampling=50 model=xgboost diffusion=flow duplicate_K=100 ycond=False depth=7 n_trees=100 eta=0.3  quantile=False ,0.0,0.0,0.0,0.0,0.0,0.6505359937006442,0.6289124477259883,0.64967347123982,0.6905925925925926,0.9790000000000001,0.0,0.0,0.0,"[np.float64(0.44851234914456245), np.float64(0.45017141974906916), np.float64(0.4292517165069355)]",8387.692988157272,0.9209902263374485,0.9530801504159405,0.9370351883766945,0.7312710447176755,0.9210199561042525,0.0,0.0,0.0,0.5880331952530229,0.5630690909684426,0.5766021436234373,0.0,0.0,0.0,0.6694145675610773,0.6682823833858393,0.6694259685027965,0.0,0.0,0.0,0.6730820051577864,0.6554760827403519,0.6741951304213003,0.0,0.0,0.0,0.6716142068306901,0.6288222338093193,0.6784706424117461
magic,forest_diffusion n_t=50 n_t_sampling=50 model=xgboost diffusion=flow duplicate_K=100 ycond=False depth=7 n_trees=100 eta=0.3  quantile=False ,0.0,0.0,0.0,0.0,0.0,0.8366290260438245,0.8289261524671541,0.838602786604973,0.7903448813070826,0.9884332281808621,0.0,0.0,0.0,"[np.float64(0.3968631006512), np.float64(0.4005497425252187), np.float64(0.3956030620773275)]",215.91101813316345,0.977815781227594,0.9892406182166789,0.9835281997221366,0.9327405716381749,0.9863212947983055,0.0,0.0,0.0,0.7616647478261975,0.7655715528240341,0.7632876500188688,0.0,0.0,0.0,0.8196345991613145,0.8255875506830448,0.8251279914050764,0.0,0.0,0.0,0.8846795551458764,0.8669223133337265,0.8841419061686688,0.0,0.0,0.0,0.8805372020419097,0.8576231930278111,0.8818535988272787
news,forest_diffusion n_t=50 n_t_sampling=50 model=xgboost diffusion=flow duplicate_K=100 ycond=False depth=7 n_trees=100 eta=0.3  quantile=False ,0.0,0.0,-1.4190442645498857,-6.249704405984495,-10.08320951382903,0.0,0.0,0.0,0.6969178882068817,0.9812526271542664,192.83487240594874,0.5614035087719298,2904.4075677760693,"[np.float64(0.599702524967339), np.float64(0.6016947633030255), np.float64(0.47653139654560606)]",5354.14089179039,0.8804722121011115,0.9240416822012029,0.902256947151157,0.8643600940704346,0.9239424081697052,0.024235237659385733,0.024044489320422063,0.024873066095453072,0.0,0.0,0.0,-5.054473144151729,-24.110368269506054,-40.04195282358393,0.0,0.0,0.0,-0.07377970660696676,-0.23359894224009886,-0.054845769938863656,0.0,0.0,0.0,-0.5721594451002323,-0.6788949015122518,-0.260912527888776,0.0,0.0,0.0
